72
0,1,22,2
0,2,25,2
0,3,28,1
0,4,6,16
1,0,22,2
1,30,40,2
1,43,40,1
1,57,22,1
1,44,40,1
2,0,25,2
2,3,28,2
2,29,40,1
2,44,25,1
2,43,33,1
3,0,28,1
3,2,28,2
3,5,50,2
3,6,40,2
4,0,6,16
4,15,50,1
4,25,50,1
4,27,40,1
4,40,28,1
4,16,40,1
4,39,50,2
4,13,40,1
5,3,50,2
5,29,50,1
5,38,50,1
5,57,22,1
5,34,18,1
5,31,40,1
5,44,28,1
6,3,40,2
6,38,18,1
6,33,50,1
6,34,50,1
6,42,25,1
6,44,25,1
7,8,12,2
7,9,5,7
7,10,40,2
7,11,50,1
7,12,50,1
7,13,8,7
7,14,50,2
8,7,12,2
8,11,20,2
8,62,50,3
8,51,25,3
8,65,20,10
8,10,18,1
9,7,5,7
9,17,13,6
9,19,33,1
9,66,40,6
9,49,28,8
9,64,50,1
10,7,40,2
10,8,18,1
10,20,40,2
11,7,50,1
11,8,20,2
11,20,50,2
11,21,25,29
11,22,22,29
11,23,25,29
11,12,50,1
11,24,25,3
12,7,50,1
12,11,50,1
12,13,7,7
13,4,40,1
13,7,8,7
13,12,7,7
13,15,50,1
13,25,50,1
13,27,50,1
13,40,50,1
13,16,50,1
13,45,50,2
13,26,7,8
13,61,10,8
14,7,50,2
14,52,25,1
14,20,50,1
14,53,20,3
14,54,50,3
15,4,50,1
15,13,50,1
15,16,50,1
16,4,40,1
16,13,50,1
16,15,50,1
16,25,50,1
17,9,13,6
17,18,33,1
17,19,22,6
18,17,33,1
18,24,50,1
18,38,4,21
19,9,33,1
19,17,22,6
19,64,25,1
20,10,40,2
20,11,50,2
20,14,50,1
20,52,33,1
20,21,50,29
20,22,40,29
20,23,50,29
21,11,25,29
21,20,50,29
21,35,50,3
22,11,22,29
22,20,40,29
22,35,18,3
23,11,25,29
23,20,50,29
24,11,25,3
24,18,50,1
24,51,20,1
25,4,50,1
25,13,50,1
25,16,50,1
26,13,7,8
26,61,50,1
26,53,50,1
27,4,40,1
27,13,50,1
28,29,33,2
28,30,40,1
28,31,40,2
28,32,50,1
29,2,40,1
29,5,50,1
29,28,33,2
29,41,33,2
30,1,40,2
30,28,40,1
30,42,50,2
30,43,50,2
31,5,40,1
31,28,40,2
31,58,40,43
32,28,50,1
32,33,50,2
32,34,50,2
33,6,50,1
33,32,50,2
34,5,18,1
34,6,50,1
34,32,50,2
35,21,50,3
35,22,18,3
36,37,50,1
36,38,14,7
36,39,11,15
37,36,50,1
37,39,16,15
38,5,50,1
38,6,18,1
38,18,4,21
38,36,14,7
38,63,50,2
38,43,22,1
39,4,50,2
39,36,11,15
39,37,16,15
39,45,40,1
40,4,28,1
40,13,50,1
41,29,33,2
41,58,50,44
41,63,16,1
41,44,40,2
42,6,25,1
42,30,50,2
43,1,40,1
43,2,33,1
43,30,50,2
43,38,22,1
43,46,6,13
43,60,11,4
43,57,50,1
43,71,20,1
44,1,40,1
44,2,25,1
44,5,28,1
44,6,25,1
44,41,40,2
44,60,16,4
44,57,33,1
45,13,50,2
45,39,40,1
45,46,14,8
46,43,6,13
46,45,14,8
46,47,5,11
46,48,25,3
46,49,50,1
46,50,28,1
47,46,5,11
47,59,25,1
47,49,7,11
47,67,50,1
47,68,50,1
47,69,33,1
47,70,50,1
48,46,25,3
48,55,6,11
49,9,28,8
49,46,50,1
49,47,7,11
49,67,6,11
49,50,40,1
50,46,28,1
50,49,40,1
51,8,25,3
51,24,20,1
51,62,50,1
52,14,25,1
52,20,33,1
53,14,20,3
53,26,50,1
53,54,50,1
54,14,50,3
54,53,50,1
54,61,14,1
55,48,6,11
55,57,20,4
55,71,33,4
55,60,50,1
56,57,40,43
56,58,50,1
57,1,22,1
57,5,22,1
57,43,50,1
57,44,33,1
57,55,20,4
57,56,40,43
57,59,10,4
58,31,40,43
58,41,50,44
58,56,50,1
59,47,25,1
59,57,10,4
59,60,50,2
60,43,11,4
60,44,16,4
60,55,50,1
60,59,50,2
60,67,33,2
60,69,50,2
60,70,33,2
61,13,10,8
61,26,50,1
61,54,14,1
62,8,50,3
62,51,50,1
63,38,50,2
63,41,16,1
64,9,50,1
64,19,25,1
65,8,20,10
65,66,12,1
66,9,40,6
66,65,12,1
67,47,50,1
67,49,6,11
67,60,33,2
68,47,50,1
68,70,33,1
69,47,33,1
69,60,50,2
70,47,50,1
70,60,33,2
70,68,33,1
71,43,20,1
71,55,33,4
